STT,Nhóm công nghệ (Category),Phương pháp sản xuất (EN),Dịch nghĩa kỹ thuật & Diễn giải (VN),Đạt (TRUE/FALSE),Quy mô máy / Thông số,Dung sai / Tiêu chuẩn,Ghi chú
32,"3. Casting, Molding & Forming",In-Mold Decoration,Trang trí bề mặt trong khuôn đúc (IMD),FALSE,,,
33,"3. Casting, Molding & Forming",In-Mold Filming,Dán màng hoa văn kỹ thuật trong khuôn (IMF),FALSE,,,
34,"3. Casting, Molding & Forming",Die Casting,"Đúc áp lực cao buồng nóng/buồng lạnh (Nhôm, Kẽm, Magie)",FALSE,,,
35,"3. Casting, Molding & Forming",Vacuum Casting,Đúc hút chân không khuôn silicon (Tạo mẫu nhanh nhựa PU/ABS),FALSE,,,
36,"3. Casting, Molding & Forming",Thermoforming,Định hình nhiệt chân không tấm nhựa (Thermoforming),FALSE,,,
37,"3. Casting, Molding & Forming",Blow Molding,"Ép thổi rỗng chai, can, thùng chứa (Blow Molding)",FALSE,,,
38,"3. Casting, Molding & Forming",Foam Molding,Đúc tạo hình bọt xốp / Mút định hình (Foam Molding),FALSE,,,
39,"3. Casting, Molding & Forming",Vacuum Forming,Hút nổi định hình chân không màng mỏng (Vacuum Forming),FALSE,,,
40,4. 3D Printing & Additive,3D Printing (SLS),In 3D thiêu kết laser chọn lọc bột nhựa (Selective Laser Sintering - PA12/Nylon),FALSE,,,
41,4. 3D Printing & Additive,3D Printing (MJF),In 3D công nghệ Multi Jet Fusion (HP MJF - Nhựa kỹ thuật chịu lực),FALSE,,,
42,4. 3D Printing & Additive,3D Printing (SLA),In 3D quang trùng hợp nhựa lỏng độ mịn cao (Stereolithography - Resin),FALSE,,,
43,4. 3D Printing & Additive,3D Printing (FDM),In 3D đùn sợi nhựa nhiệt dẻo (Fused Deposition Modeling - PLA/ABS/PETG/PEEK),FALSE,,,
44,4. 3D Printing & Additive,3D Printing (DLS),In 3D ánh sáng kỹ thuật số siêu tốc (Digital Light Synthesis - Carbon DLS),FALSE,,,
45,4. 3D Printing & Additive,3D Printing (DMLS),"In 3D thiêu kết laser kim loại trực tiếp (Direct Metal Laser Sintering - Inox, Titan, Nhôm)",FALSE,,,
46,4. 3D Printing & Additive,3D Printing (Polyjet),In 3D phun hạt photopolymer đa vật liệu / đa màu sắc (PolyJet),FALSE,,,
47,5. Other Methods,Tooth Gear,"Gia công chế tạo bánh răng (Phay lăn răng Hobbing, xọc răng, mài răng chính xác)",FALSE,,,
48,5. Other Methods,EDM,Gia công tia lửa điện (Cắt dây Wire-EDM & Xung định hình Die-Sinker EDM),FALSE,,,
49,5. Other Methods,Assembly,"Lắp ráp cụm chi tiết cơ khí, đóng gói module (Mechanical Assembly)",FALSE,,,
50,5. Other Methods,Welding Steel,"Hàn kết cấu thép (Hàn MIG, MAG, TIG, que hàn tiêu chuẩn)",FALSE,,,
51,5. Other Methods,Welding Alu,Hàn nhôm và hợp kim nhôm chuyên dụng (AC TIG / Pulse MIG),FALSE,,,
52,5. Other Methods,Welding Stainless Steel,Hàn inox / thép không gỉ thẩm mỹ & vi sinh (Sanitary TIG),FALSE,,,
53,5. Other Methods,Molds&Dies,"Thiết kế & Chế tạo khuôn mẫu chính xác (Khuôn ép nhựa, khuôn dập kim loại)",FALSE,,,
54,5. Other Methods,Assembly machining,Gia công cơ khí tinh chỉnh sau khi đã lắp ghép cụm chi tiết,FALSE,,,
55,6. Post Processing,Post Processing,"Xử lý nhiệt luyện (Tôi, thấm Carbon, ram) & Xử lý bề mặt (Anodize, Xi mạ Niken/Kẽm, Sơn tĩnh điện, Bắn cát)",FALSE,,,
